average rating,num reviews, title, category
3.1,113,MP3 Mover for Amazon Music,Music
3.0,22,Musify - Free Unlimited Music Streamer & MP3 Player,Music
3.6,246,iSyncr for iTunes to Android (Pro),Music
3.8,67,J4T Multitrack Recorder,Music
3.3,22,3D Earth Map for google earth,Navigation
3.2,456,GPS Maps with HD Street View,Navigation
3.6,260,Tab for Google Maps & offline map,Navigation
3.2,89,Nav for Google Maps,Navigation
2.4,31,Skyguide Stars For Kindle,Navigation
2.8,5,3D StreetView,Navigation
3.5,6,Night Sky map,Navigation
3.5,6,Gps Maps Free,Navigation
3.3,22,3D Earth Map for google earth,Navigation
3.2,456,GPS Maps with HD Street View,Navigation
3.6,260,Tab for Google Maps & offline map,Navigation
3.2,89,Nav for Google Maps,Navigation
2.4,31,Skyguide Stars For Kindle,Navigation
3.7,56,US Topo Maps Pro,Navigation
2.8,5,3D StreetView,Navigation
3.5,6,Night Sky map,Navigation
3.5,6,Gps Maps Free,Navigation
3.6,94,Conservative Talk Radio,News & Magazines
3.8,86,NASA Now,News & Magazines
3.4,5,Police Scanner Radio Plus,News & Magazines
3.7,3,Stars and Stripes,News & Magazines
2.8,38,Politifact Mobile,News & Magazines
3.6,94,Conservative Talk Radio,News & Magazines
3.8,86,NASA Now,News & Magazines
3.8,79,Earthquake Finder,News & Magazines
3.4,5,Police Scanner Radio Plus,News & Magazines
3.7,3,Stars and Stripes,News & Magazines
2.8,38,Politifact Mobile,News & Magazines
1.5,61,X-Ray Scanner,Novelty
3.2,32,Fortune Cookies,Novelty
2.7,44,Newton's Cradle (Kindle Tablet Edition),Novelty
0.0,0,Thunderify Pro,Novelty
1.0,6,Nice or Naughty Finger Scanner,Novelty
3.5,71,iLove Check,Novelty
3.4,146,Hidden Objects USA - New York Florida Vegas Hollywood & Puzzle Travel Games,Novelty
3.0,6,Speech Jammer Gun Brain Confuser - Stop Speech,Novelty
2.8,6,Around the Globe - Take a Virtual Tour Around the World,Novelty
1.5,61,X-Ray Scanner,Novelty
3.2,32,Fortune Cookies,Novelty
2.7,44,Newton's Cradle (Kindle Tablet Edition),Novelty
0.0,0,Thunderify Pro,Novelty
1.0,6,Nice or Naughty Finger Scanner,Novelty
3.5,71,iLove Check,Novelty
3.4,146,Hidden Objects USA - New York Florida Vegas Hollywood & Puzzle Travel Games,Novelty
3.0,6,Speech Jammer Gun Brain Confuser - Stop Speech,Novelty
2.8,6,Around the Globe - Take a Virtual Tour Around the World,Novelty
3.9,119,DoggCatcher Podcast Player,Podcasts
3.4,18,Podcast HD (Kindle Tablet Edition),Podcasts
3.0,3,FlashOTR: Old Time Radio,Podcasts
3.9,119,DoggCatcher Podcast Player,Podcasts
